"Scenario","Method","Parameter","N_Estimate","N_Variance","Mean_Estimate","Bias","MC_SD","Mean_Analytic_SE","SE_to_MCSD","RMSE","Coverage","Mean_CI_Width","Mean_ESS","Mean_MaxWeight","Median_MaxWeight","P95_MaxWeight","Estimator_Failure_Rate","Variance_Failure_Rate","Lambda_Failure_Rate","Mean_Calibration_Residual"
"OR1PS2","Full","beta1",1000,1000,0.999252413914673,-0.00747586085326523,0.323623592843833,0.316908498718955,0.979250294869205,0.323548120239947,0.942,1.24225848776762,NA,NA,NA,NA,0,0,NA,NA
"OR1PS2","Full","beta2",1000,1000,2.00235965089212,0.0235965089212468,0.617968837830723,0.63334754364726,1.02488589209534,0.618110341507562,0.953,2.48267675049108,NA,NA,NA,NA,0,0,NA,NA
"OR1PS2","HD","beta0",1000,1000,0.997040598315649,-0.0295940168435122,0.546555497193739,0.546770567606422,1.00039350150861,0.547083169576726,0.961,2.14330124063022,435.316109370299,3.05887804511645,2.94140587050968,4.07579176026389,0,0,0,8.12433165413597e-07
"OR1PS2","HD","beta1",1000,1000,0.998248252636705,-0.0175174736329501,0.407280725327235,0.398710431889221,0.978957282029175,0.407453768563179,0.952,1.56291617352657,435.316109370299,3.05887804511645,2.94140587050968,4.07579176026389,0,0,0,8.12433165413597e-07
"OR1PS2","HD","beta2",1000,1000,2.00430422973675,0.0430422973674816,0.732029698289565,0.747196443684402,1.02071875694426,0.732928544307972,0.954,2.92895623799568,435.316109370299,3.05887804511645,2.94140587050968,4.07579176026389,0,0,0,8.12433165413597e-07
"OR1PS2","IPW","beta0",1000,1000,0.998280264165929,-0.017197358340712,0.626131519193135,0.626770574591265,1.00102064083749,0.626054620445912,0.946,2.45689550553671,436.57088251503,2.62350641615177,2.59488499103995,3.02382189961008,0,0,NA,NA
"OR1PS2","IPW","beta1",1000,1000,0.996641323701579,-0.033586762984214,0.496364488680143,0.478077110531951,0.963157360034319,0.497251846215612,0.942,1.8740278369512,436.57088251503,2.62350641615177,2.59488499103995,3.02382189961008,0,0,NA,NA
"OR1PS2","IPW","beta2",1000,1000,2.00212779933163,0.0212779933162964,0.943777647538994,0.956009539472915,1.01296056541053,0.943545592298439,0.952,3.74748853248727,436.57088251503,2.62350641615177,2.59488499103995,3.02382189961008,0,0,NA,NA
"OR2PS1","AIPW","beta0",1000,1000,0.492972941218929,-0.0702705878107091,3.18259058709805,2.64333714060922,0.830561477597867,3.18177496340506,0.955,10.3616911891823,305.34204996684,25.7366517031978,18.7109872075874,58.5689958787811,0,0,NA,NA
"OR2PS1","AIPW","beta1",1000,1000,0.78544692458538,-0.0955307541462048,2.35509852329091,1.77510457734938,0.753728372632548,2.35585837654566,0.949,6.95828208079394,305.34204996684,25.7366517031978,18.7109872075874,58.5689958787811,0,0,NA,NA
